couter;latency
0;42.5521
1;31.0191
2;16.5613
3;29.0699
4;1.75136
5;36.4798
6;18.7276
7;1.48323
8;27.6917
9;21.1552
10;2.02444
11;16.6799
12;34.4024
13;30.1481
14;15.5187
15;14.2952
16;38.6109
17;17.3145
18;34.1521
19;16.769
20;1.44278
21;13.792
22;16.2969
23;1.30987
24;21.0059
25;36.837
26;1.52688
27;16.1003
28;17.9377
29;28.5327
30;1.21745
31;12.4232
32;16.0891
33;15.0827
34;17.3671
35;19.2237
36;17.2229
37;18.3802
38;30.7572
39;34.8716
40;40.3009
41;1.90219
42;15.5655
43;1.30244
44;15.7087
45;1.53164
46;15.3754
47;13.7712
48;39.8642
49;1.831
