couter;latency
0;14.6937
1;28.8448
2;17.6176
3;1.96838
4;16.5116
5;20.6146
6;31.8338
7;27.5027
8;16.934
9;18.6909
10;2.04985
11;28.601
12;15.7389
13;1.27395
14;1.20088
15;1.22988
16;1.19447
17;1.17613
18;19.5245
19;30.7063
20;15.3516
21;14.8237
22;33.4059
23;36.4497
24;16.0921
25;39.2717
26;21.2553
27;14.4444
28;20.5916
29;1.84667
30;28.8704
31;20.9036
32;18.9837
33;15.5338
34;1.30803
35;1.19239
36;15.1598
37;1.31096
38;34.0922
39;30.6831
40;18.9992
41;19.2672
42;1.96362
43;14.9257
44;1.32046
45;20.6915
46;16.0456
47;1.38452
48;1.33121
49;20.1037
