couter;latency
0;29.1429
1;34.8188
2;15.8119
3;16.8321
4;21.3264
5;19.5558
6;1.54836
7;20.0803
8;18.9545
9;20.4861
10;15.5368
11;16.5143
12;1.20443
13;20.6712
14;14.1189
15;19.7488
16;2.2184
17;15.818
18;18.5472
19;19.9984
20;2.07839
21;33.6428
22;31.403
23;19.8434
24;16.2627
25;1.66384
26;16.2088
27;34.387
28;22.9407
29;15.4272
30;1.27407
31;1.30863
32;1.31778
33;34.6723
34;36.1832
35;1.8955
36;21.1507
37;32.504
38;33.6415
39;1.79153
40;22.8173
41;33.8124
42;1.51733
43;21.2294
44;14.7251
45;35.9703
46;18.0492
47;1.70787
48;15.5222
49;31.6844
