couter;latency
0;1.8284
1;0.392834
2;0.387063
3;0.374652
4;0.432688
5;0.449552
6;0.397011
7;15.5636
8;0.473152
9;0.399161
10;0.391635
11;2.33662
12;0.466696
13;8.52243
14;0.375234
15;1.62694
16;0.505913
17;1.54422
18;2.50865
19;5.11518
20;0.412652
21;14.8905
22;1.80914
23;2.5175
24;0.466747
25;2.586
26;0.512192
27;2.54839
28;0.441
29;0.437076
30;5.13932
31;14.9725
32;2.74918
33;1.47382
34;0.44778
35;0.407433
36;0.547616
37;0.441786
38;5.9032
39;1.83176
40;10.3972
41;2.64354
42;8.76195
43;0.645044
44;0.496541
45;1.61588
46;15.0743
47;2.24028
48;0.500263
49;0.463062
