couter;latency
0;5.15778
1;15.617
2;0.289167
3;15.3905
4;1.65493
5;1.36411
6;0.256039
7;0.261851
8;0.815201
9;8.71833
10;0.257611
11;2.62963
12;0.406947
13;2.5227
14;0.444918
15;1.70482
16;0.427862
17;2.00604
18;21.5109
19;4.00983
20;15.7484
21;9.1251
22;1.54095
23;2.43274
24;9.65325
25;2.04187
26;2.00079
27;5.06026
28;1.79341
29;0.459914
30;8.92883
31;2.236
32;18.8363
33;2.43073
34;2.48169
35;1.68095
36;0.326864
37;0.49377
38;7.67136
39;0.759661
40;0.369359
41;0.34094
42;1.60973
43;0.450977
44;0.354522
45;0.396272
46;0.302507
47;2.44889
48;5.14687
49;0.285131
