couter;latency
0;2.48997
1;17.9206
2;0.603187
3;5.19128
4;0.77357
5;1.81213
6;17.8922
7;1.83166
8;1.64068
9;2.68856
10;8.69522
11;15.0575
12;6.19813
13;2.70727
14;15.0301
15;17.859
16;0.766608
17;0.709165
18;2.31802
19;6.19999
20;0.61431
21;0.740463
22;1.99742
23;15.2091
24;9.46506
25;0.565499
26;0.575434
27;2.2622
28;0.547512
29;1.93702
30;0.66656
31;0.567463
32;0.683681
33;9.73024
34;15.1291
35;0.692401
36;0.566243
37;0.932606
38;0.97002
39;5.29931
40;15.1313
41;2.67947
42;2.3398
43;2.34536
44;15.1805
45;1.91258
46;5.38277
47;10.269
48;0.607476
49;2.33558
