couter;latency
0;5.40333
1;0.478469
2;5.34797
3;1.608
4;0.347219
5;2.54607
6;1.80846
7;1.45766
8;0.379349
9;15.3055
10;0.323042
11;0.413052
12;5.17857
13;0.325992
14;2.44849
15;2.43973
16;0.334185
17;5.23454
18;0.478529
19;0.698978
20;0.376334
21;0.312167
22;19.5631
23;16.2992
24;0.36091
25;0.360583
26;1.8562
27;1.91723
28;12.3717
29;0.399377
30;0.374666
31;2.52623
32;2.44471
33;12.0421
34;4.58758
35;0.355873
36;0.38227
37;5.19635
38;0.342376
39;16.5054
40;0.368697
41;2.12685
42;2.15754
43;0.335495
44;15.3515
45;16.1415
46;0.416868
47;0.346796
48;1.57789
49;16.2223
