couter;latency
0;16.6514
1;15.855
2;15.5048
3;21.2864
4;20.7834
5;21.1836
6;2.04219
7;14.553
8;30.8648
9;21.3958
10;30.8014
11;20.0209
12;1.80332
13;39.3412
14;28.3853
15;20.5075
16;31.6472
17;12.2066
18;34.1901
19;1.46708
20;31.3831
21;15.7396
22;15.3921
23;22.5342
24;30.5515
25;34.4247
26;15.4248
27;16.0885
28;38.5795
29;31.0358
30;1.34297
31;32.5021
32;15.5569
33;1.32223
34;1.273
35;16.6453
36;15.3467
37;30.7394
38;22.3533
39;19.0383
40;38.981
41;1.81357
42;15.3176
43;38.8974
44;33.7222
45;28.5459
46;19.0176
47;16.4793
48;21.3329
49;20.8647
