couter;latency
0;0.0473255
1;13.5069
2;0.268136
3;0.188691
4;7.12347
5;1.74261
6;0.112308
7;0.214615
8;6.92916
9;3.73707
10;0.177153
11;3.68675
12;1.66076
13;1.67331
14;3.67431
15;0.064249
16;6.92156
17;13.3297
18;0.167836
19;1.11928
20;0.0671796
21;0.128128
22;0.100394
23;1.51624
24;1.0233
25;0.0533618
26;1.41818
27;13.2872
28;0.102337
29;13.2891
30;0.10222
31;0.119308
32;0.0909536
33;1.66803
34;1.00385
35;1.01274
36;0.0418908
37;1.35035
38;0.0667132
39;1.63938
40;1.65388
41;0.105952
42;0.0423057
43;0.0433079
44;13.2278
45;0.175925
46;6.94615
47;13.3196
48;0.0747249
49;0.192909
