couter;latency
0;17.4146
1;0.609505
2;15.4475
3;1.75849
4;0.527829
5;0.491515
6;0.605376
7;0.570369
8;0.693816
9;9.46825
10;15.429
11;0.54709
12;9.41611
13;9.66942
14;15.3701
15;0.447828
16;0.572956
17;0.823852
18;8.9826
19;1.56692
20;1.70641
21;2.75231
22;0.490902
23;15.4004
24;1.7014
25;5.4638
26;0.603462
27;0.541699
28;3.00049
29;0.774434
30;0.76635
31;10.5289
32;2.66667
33;2.27059
34;1.59212
35;2.62619
36;0.551086
37;1.72948
38;0.588339
39;2.51729
40;0.557248
41;1.76916
42;2.61721
43;0.451648
44;9.59543
45;2.66327
46;0.677351
47;5.27756
48;20.0449
49;0.504514
