couter;latency
0;38.0565
1;34.7275
2;19.9083
3;13.423
4;31.9175
5;16.145
6;1.67967
7;18.6078
8;1.33363
9;19.8831
10;1.33341
11;21.7993
12;13.7549
13;18.4701
14;1.95986
15;15.071
16;1.30108
17;20.725
18;36.5103
19;31.0404
20;1.51527
21;1.40333
22;20.1431
23;2.11884
24;18.341
25;15.3882
26;21.2248
27;15.8747
28;39.1759
29;1.77024
30;15.3125
31;1.2669
32;1.3523
33;31.3144
34;1.51011
35;1.44166
36;14.9656
37;16.9827
38;36.4359
39;17.751
40;1.31701
41;14.9328
42;14.3723
43;1.29376
44;20.1991
45;34.2293
46;14.6376
47;15.439
48;1.33632
49;30.0239
