---inserts---
427019236671, 223003885
427252228107, 58639941
427310977574, 58936511
427370018662, 54065718
427424181557, 58674355
427482958446, 56876997
427539921638, 55415025
427595417484, 56278155
427651783280, 55648434
427707516452, 57623899
427765237270, 56951004
427822290641, 55873242
427878272274, 60066207
427938475919, 57367804
427995969564, 107011223
428103123708, 55597019
428158858320, 62396849
428221387580, 61122605
428282651126, 62661197
428345452570, 59252479
428404886775, 61603192
428466634014, 61655435
428528442120, 59669512
428588246990, 63839146
428652226545, 82399791
428734809352, 54764055
428789751494, 57143395
428847015011, 55536453
428902684216, 53421854
428956233198, 60046514
429016422715, 56626201
429073206273, 69359387
429142720433, 63472990
429206339187, 61498854
429267987690, 55690011
429323810408, 60605605
429384555960, 59910465
429444607436, 61485179
429506235867, 64356974
429570726068, 59659748
429630537642, 55005205
429685714191, 59510063
429745378730, 56979845
429802490011, 62229638
429864852382, 55973844
429920945673, 60020126
429981102547, 53886791
430035127851, 57107318
430092390051, 57993048
430150516668, 62606952
430213247901, 57650088
430271042324, 59287448
430330481994, 54774703
430385407489, 61967635
430447525580, 101448730
430549124043, 59887853
430609169364, 59815928
430669123141, 59064375
430728333267, 60853933
430789337269, 61705676
430851193608, 60140697
430911480784, 57498695
430969121051, 63328327
431032583062, 59338609
431092119121, 58214094
431150475024, 53680031
431204300585, 57099667
431261541440, 59272735
431320963425, 59029584
431380157433, 54405494
431434701926, 64326944
431499158623, 57244883
431556549269, 53533295
431610214673, 56645317
431666997111, 58863942
431725994907, 59955874
431786096638, 56721513
431842953533, 55389447
431898486528, 63126705
431961762981, 53816082
432015729663, 58905368
432074776031, 57398480
432132324508, 62092283
432194563667, 60121991
432254832331, 80448358
432335428840, 63020304
432398609819, 55962474
432454686844, 54453508
432509258898, 59888433
432569253434, 73264749
432642640762, 58312927
432701067992, 75949221
432777145621, 58207398
432835464694, 61172021
432896740251, 57126419
432954008972, 57705442
433011813860, 59696287
433071597475, 56452806
433128144837, 62203915
433190437342, 59253241
433249825991, 60092826
433310061860, 58052035
433368263206, 53294336
433421739459, 56942838
433478795777, 59879930
433538776940, 71763590
433610654955, 87104845
433697902017, 60729287
433758764982, 61103092
433820021846, 57946950
433878087917, 55614844
433933810375, 56117997
433990029310, 64723369
434054862226, 57615518
434112592180, 59440357
434172130141, 58860300
434231091920, 60857194
434292077712, 55115577
434347301022, 55661525
434403061124, 54312823
434457474168, 55907280
434513476413, 49979240
434563590927, 58028099
434621755368, 60113316
434682035387, 56594367
434738776119, 58830465
434797761803, 57175433
434855101859, 63980915
434919281028, 55359683
434974808149, 75600640
435050556163, 58945953
435109634848, 55219959
435164990086, 56743254
435221884693, 55582228
435277606243, 60265908
435338011158, 57866063
435396053076, 62609397
435458796900, 59351885
435518290147, 64705254
435583133303, 54214749
435637492419, 59521150
435697154845, 59589335
435756887134, 63112924
435820168999, 65235150
