couter;latency
0;0.433439
1;0.280114
2;1.54611
3;0.338323
4;2.05369
5;0.318903
6;8.57591
7;14.6131
8;2.1056
9;0.319372
10;14.731
11;1.72956
12;0.293668
13;0.322918
14;2.64759
15;5.61038
16;0.334682
17;0.601123
18;0.988669
19;16.8155
20;9.54629
21;8.57059
22;4.90051
23;0.34868
24;9.31821
25;8.63579
26;5.01052
27;2.13544
28;8.52018
29;0.419216
30;8.76551
31;14.7057
32;4.96124
33;14.9686
34;5.02952
35;8.34811
36;1.5312
37;0.387431
38;0.312952
39;1.83215
40;2.6486
41;1.37113
42;14.818
43;8.61598
44;15.4842
45;9.12127
46;0.437178
47;0.42141
48;14.7277
49;2.1315
