couter;latency
0;28.6396
1;1.86639
0;33.1452
0;42.892
0;57.3561
1;24.2139
1;3.03448
2;41.7456
1;32.1431
2;27.5571
3;29.8259
3;24.5694
4;25.7464
2;82.2779
4;28.1399
5;15.1185
6;1.98065
5;30.9799
3;24.59
2;92.972
4;26.8208
7;37.0811
6;36.1491
3;51.1745
4;14.1796
5;44.8544
7;50.3853
8;63.1261
9;3.2163
8;24.3368
5;38.0292
10;35.6656
9;29.6874
11;2.55339
6;33.5063
6;88.2951
7;1.51932
7;25.0302
8;9.73598
8;26.3698
12;52.7796
9;28.4231
10;69.2169
11;2.37749
12;1.4493
13;28.1446
14;21.3123
13;42.8587
10;62.067
15;34.8958
9;104.637
14;42.9172
11;33.729
16;30.5784
12;17.3085
15;29.373
17;32.649
13;28.0745
18;19.151
10;75.1462
11;1.45298
19;27.956
16;60.4133
20;8.90965
14;56.1211
12;36.7742
17;40.9355
15;24.9168
18;1.70617
19;2.2618
13;35.0237
20;25.9943
21;3.1693
14;19.035
21;68.3887
22;4.98379
23;16.4435
22;23.903
16;71.9047
15;39.8507
23;38.2347
17;35.6522
16;34.0689
24;28.6422
24;88.1507
25;1.37334
18;38.1067
25;29.2378
26;25.5895
27;1.57859
28;1.878
26;28.6397
17;77.9398
18;1.42275
29;27.4965
19;18.1778
19;80.4655
20;21.9747
20;1.64079
27;63.7427
21;20.9132
30;73.586
31;1.80803
28;30.5553
22;36.6979
29;29.7407
23;29.7037
21;89.9768
22;13.3251
23;2.05432
24;32.3013
30;44.0682
32;77.3709
24;40.7086
33;32.6643
31;36.272
34;2.26537
35;23.9622
25;52.2212
32;53.1155
36;33.0806
25;109.132
26;1.78246
26;38.7043
33;29.4271
27;27.3149
34;22.6376
35;1.4662
27;48.8514
37;69.2141
28;30.0588
28;2.72986
38;2.79227
29;3.13
39;2.83756
36;47.7958
30;26.6998
31;2.01196
40;31.383
41;1.35098
29;56.3951
37;43.7829
42;45.7289
32;49.8574
33;14.6556
38;27.6508
34;5.90795
43;35.108
30;60.9206
39;32.1252
35;39.7223
36;2.39182
44;39.872
40;33.1544
37;23.6378
31;60.0357
45;41.6262
32;25.5864
41;61.1118
38;55.6197
46;36.3894
33;34.3004
42;29.8715
34;26.7859
35;1.80002
43;25.5456
36;28.487
39;83.0855
44;30.2753
47;84.846
45;12.8556
46;2.06666
37;29.8077
40;36.0426
38;28.567
39;19.79
41;42.2712
48;76.3504
47;72.6762
48;2.43757
40;36.6743
42;28.0544
41;3.7668
49;39.9473
43;29.3516
42;32.9373
43;22.3129
44;36.5344
49;83.7424
44;23.1741
45;21.1544
46;15.9188
45;52.7517
47;24.635
46;21.9936
48;32.7175
47;41.8169
49;23.3763
48;16.5098
49;1.31482
