couter;latency
0;0.268551
1;0.257086
2;1.46826
3;0.417615
4;0.309923
5;0.855461
6;5.01004
7;0.295434
8;2.35443
9;2.36048
10;0.267239
11;0.732664
12;14.9412
13;1.96149
14;1.67699
15;2.01121
16;1.96164
17;0.28433
18;0.27922
19;2.03387
20;1.49225
21;1.49783
22;0.31222
23;1.62681
24;14.7374
25;0.279457
26;0.657576
27;1.50117
28;2.3977
29;1.89533
30;2.37394
31;2.56174
32;0.340589
33;14.8054
34;4.92321
35;4.90341
36;2.3976
37;2.06585
38;0.316188
39;14.6426
40;0.337878
41;0.345025
42;0.895382
43;2.10136
44;8.75269
45;2.34933
46;8.74272
47;9.31479
48;1.71002
49;0.436702
