couter;latency
0;19.0108
0;30.6709
1;14.8139
2;14.1472
3;13.7905
0;68.9189
0;71.5882
1;51.7363
1;21.7464
2;14.5772
3;13.9627
4;56.9897
4;23.5042
1;67.4317
5;17.6376
6;13.6157
7;0.829396
2;65.4432
8;23.5773
3;19.9965
4;5.4902
9;24.7774
2;72.3096
5;75.1599
5;32.4053
6;4.7478
10;32.8334
3;25.6758
11;23.2756
7;35.3897
8;9.25604
4;40.9784
5;1.7129
12;33.1112
13;2.6173
9;26.2141
6;15.3489
10;7.51142
6;94.3664
7;23.8187
8;1.59486
9;0.81694
10;0.793363
7;17.7179
11;21.1616
8;32.5276
9;14.1697
12;37.0543
14;87.3943
11;79.3002
13;33.7786
10;44.4553
12;36.1751
15;51.1106
11;28.3699
12;4.39854
14;44.5486
13;50.4967
14;1.0135
13;35.8711
15;25.8924
15;19.0656
16;6.16542
16;14.3597
17;14.4242
16;81.1979
18;20.9828
17;24.5764
18;0.780718
14;67.5073
15;0.780013
19;16.5639
17;64.5423
16;24.3391
18;27.8232
17;20.4617
19;63.9326
19;32.9647
18;23.9259
20;25.3984
20;76.9985
20;27.9061
21;0.858848
21;27.3828
19;37.0712
20;1.3053
21;0.873129
22;12.7504
23;0.80508
21;40.1401
24;22.8345
22;16.0093
23;12.4363
22;63.138
24;21.261
25;1.64516
26;1.16581
23;17.3034
22;71.6369
27;22.8549
23;18.3126
24;0.795136
25;74.504
25;18.3359
26;2.0342
26;15.298
27;0.782804
28;17.436
24;69.4484
25;0.800285
28;51.8056
27;34.9739
28;13.7345
29;0.798892
29;33.0628
30;13.5049
29;42.5849
30;1.98154
31;0.783197
26;49.4408
27;14.552
30;45.7502
31;36.4392
32;0.845891
32;46.0666
33;0.806396
33;24.0857
34;14.682
31;41.3966
28;48.6747
34;31.1542
35;38.0673
32;36.7197
29;44.2085
35;25.2689
30;10.4025
36;28.9855
36;14.6074
33;32.5648
31;15.0302
32;13.3705
33;12.8029
34;12.6209
37;58.8578
37;60.0043
38;1.21428
35;18.7465
34;68.2989
39;23.6695
40;0.801311
35;16.9175
36;0.785703
37;12.8269
38;0.814863
39;0.830784
38;53.4359
36;52.8243
40;14.2532
41;10.4094
37;22.2683
38;0.829055
41;66.3527
42;23.0496
39;33.1556
42;25.078
43;37.4393
43;18.5307
39;84.2006
40;2.2308
41;1.01324
44;22.7744
42;14.2265
43;0.797158
44;0.804051
45;0.845865
46;13.4895
40;60.8607
44;46.7214
45;0.784331
45;36.4412
46;0.850694
47;13.3367
47;36.9445
41;45.4332
48;14.7203
46;48.833
47;13.0593
48;54.9614
48;18.8508
49;47.411
42;49.1386
49;23.1253
43;13.286
49;36.6147
44;25.8354
45;15.6874
46;11.4883
47;0.808621
48;0.765723
49;11.8968
